station_clean,delay_count,total_delay_minutes
BATHURST,236,370
BAY,165,397
BAYVIEW,126,182
BESSARION,74,141
BLOOR-YONGE,1039,2425
BROADVIEW,295,836
CASTLE FRANK,150,367
CHESTER,159,446
CHRISTIE,172,438
COLLEGE,271,820
COXWELL,255,730
DAVISVILLE,331,1214
DON MILLS,262,893
DONLANDS,230,812
DOWNSVIEW PARK,114,378
DUFFERIN,190,406
DUNDAS,431,704
DUNDAS WEST,274,433
DUPONT,140,440
EGLINTON,495,2341
EGLINTON WEST,203,596
FINCH,685,1533
FINCH WEST,120,366
GLENCAIRN,98,282
GREENWOOD,315,1032
HIGH PARK,161,461
HIGHWAY 407,88,154
ISLINGTON,290,973
JANE,167,379
KEELE,358,795
KENNEDY,767,1644
KING,239,1057
KIPLING,650,1718
LANSDOWNE,148,289
LAWRENCE,251,1373
LAWRENCE WEST,199,681
LESLIE,106,258
MAIN STREET,257,595
MUSEUM,120,507
NORTH YORK CENTRE,150,533
OLD MILL,144,284
OSGOODE,160,480
OSSINGTON,241,602
PAPE,189,465
PIONEER VILLAGE,100,211
QUEEN,248,549
QUEEN'S PARK,148,310
ROSEDALE,185,1057
ROYAL YORK,186,375
RUNNYMEDE,128,170
SHEPPARD,226,685
SHEPPARD WEST,258,1823
SHEPPARD-YONGE,211,807
SHERBOURNE,240,341
SPADINA BD,203,469
SPADINA YUS,151,377
ST ANDREW,165,590
ST CLAIR,326,891
ST CLAIR WEST,223,760
ST GEORGE,502,1633
ST PATRICK,149,366
SUMMERHILL,114,431
UNION,463,1268
VAUGHAN METROPOLITAN CENTRE,375,745
VICTORIA PARK,364,1062
WARDEN,405,1185
WELLESLEY,335,703
WILSON,488,1690
WOODBINE,229,367
YORK MILLS,215,1051
YORK UNIVERSITY,86,226
YORKDALE,144,966
