Line,Station,delay_count,total_delay_minutes
BD,APPROACHING OLD MILL S,1,10
BD,BATHURST STATION,236,370
BD,BAY STATION,165,397
BD,BROADVIEW STATION,295,836
BD,CASTLE FRANK STATION,150,367
BD,CHESTER STATION,159,446
BD,CHRISTIE STATION,171,434
BD,COXWELL STATION,255,730
BD,DONLANDS STATION,229,683
BD,DONLANDS TO GREENWOOD,1,129
BD,DUFFERIN STATION,190,406
BD,DUNDAS WEST STATION,274,433
BD,GREENWOOD STATION,225,952
BD,GREENWOOD WYE,7,16
BD,GREENWOOD YARD,83,64
BD,HIGH PARK STATION,161,461
BD,ISLINGTON STATION,289,967
BD,ISLINGTON TO COXWELL S,1,6
BD,JANE STATION,167,379
BD,KEELE STATION,347,764
BD,KEELE TO OSSINGTON,1,11
BD,KEELE YARD,10,20
BD,KENNEDY BD STATION,734,1640
BD,KENNEDY STATION,33,4
BD,KIPLING STATION,649,1714
BD,LANSDOWNE STATION,147,277
BD,LAWRENCE STATION,2,10
BD,MAIN STREET STATION,257,595
BD,OLD MILL STATION,143,274
BD,OSSINGTON CENTRE TRACK,5,4
BD,OSSINGTON STATION,234,577
BD,OSSINGTON TO ST GEORGE,2,21
BD,PAPE STATION,186,449
BD,ROYAL YORK STATION,186,375
BD,RUNNYMEDE STATION,128,170
BD,SHERBOURNE STATION,240,341
BD,SPADINA BD STATION,203,469
BD,ST GEORGE BD STATION,237,784
BD,VICTORIA PARK - WARDEN,1,10
BD,VICTORIA PARK STATION,355,1035
BD,VICTORIA PARK TO KENNE,3,12
BD,VICTORIA PARK TO WARDE,5,5
BD,VMC STATION,1,3
BD,W/O WARDEN TO E/O KENN,1,64
BD,WARDEN STATION,402,1104
BD,WOODBINE STATION,229,367
BD,YONGE BD STATION,371,1055
BD,YORK UNIVERSITY STATIO,1,4
None,QUEEN STATION,1,3
SHP,BAYVIEW STATION,126,182
SHP,BESSARION STATION,74,141
SHP,DON MILLS STATION,262,893
SHP,DUNDAS STATION,1,11
SHP,LESLIE STATION,104,239
SHP,LESLIE STATION (APPROA,1,3
SHP,LESLIE STATION - APPRO,1,16
SHP,ROSEDALE STATION,1,5
SHP,SHEPPARD STATION,8,3
SHP,SHEPPARD YONGE STATION,1,8
SHP,SHEPPARD-YONGE STATION,210,799
SHP,ST CLAIR STATION,1,11
YU,BLOOR STATION,667,1342
YU,BLOOR TO ROSEDALE STAT,1,28
YU,CHRISTIE STATION,1,4
YU,COLLEGE STATION,271,820
YU,DAVISVILLE - ST. CLAIR,1,15
YU,DAVISVILLE BUILD-UP,5,6
YU,DAVISVILLE STATION,295,1178
YU,DAVISVILLE STATION (AP,1,9
YU,DAVISVILLE YARD,29,6
YU,DOWNSVIEW PARK STATION,114,378
YU,DUNDAS STATION,430,693
YU,DUPONT STATION,140,440
YU,EGLINTON STATION,495,2341
YU,EGLINTON WEST STATION,203,596
YU,FINCH STATION,681,1496
YU,FINCH STATION PLATFORM,2,10
YU,FINCH STATION TO ST GE,1,5
YU,FINCH TAIL,1,22
YU,FINCH WEST STATION,120,366
YU,GLENCAIRN STATION,98,282
YU,HIGHWAY 407 STATION,88,154
YU,KING STATION,238,919
YU,KING TO UNION,1,138
YU,KIPLING STATION,1,4
YU,LANSDOWNE STATION,1,12
YU,LAWRENCE STATION,249,1363
YU,LAWRENCE WEST STATION,198,661
YU,LINE 1 - YONGE UNIVERS,13,3
YU,MUSEUM STATION,120,507
YU,N/O LAWRENCE WEST STAT,1,20
YU,NORTH YORK CENTRE STAT,21,37
YU,NORTH YORK CTR STATION,129,496
YU,OSGOODE POCKET,2,23
YU,OSGOODE STATION,158,457
YU,PAPE STATION,3,16
YU,PIONEER VILLAGE STATIO,100,211
YU,QUEEN STATION,247,546
YU,QUEEN'S PARK STATION,148,310
YU,ROSEDALE STATION,184,1052
YU,SHEPPARD STATION,218,682
YU,SHEPPARD WEST STATION,257,1802
YU,SHEPPARD WEST TO WILSO,1,21
YU,SOUTH HOSTLER,4,18
YU,SPADINA YUS STATION,151,377
YU,ST ANDREW STATION,165,590
YU,ST CLAIR STATION,325,880
YU,ST CLAIR WEST STATION,222,752
YU,ST GEORGE YUS STATION,265,849
YU,ST PATRICK STATION,144,357
YU,ST. CLAIR WEST,1,8
YU,ST. PATRICK STATION,5,9
YU,SUMMERHILL STATION,114,431
YU,UNION STATION,446,1175
YU,UNION STATION (TO KING,1,4
YU,UNION STATION (TO ST A,1,4
YU,UNION STATION (TOWARDS,1,10
YU,UNION STATION - ST AND,2,6
YU,UNION STATION TO KING,5,12
YU,UNION STATION TO ST AN,1,4
YU,UNION STATION TO ST. A,1,15
YU,UNION STATION TO VMC,1,6
YU,UNION STATION TOWARD K,1,10
YU,UNION STATION- ST ANDR,1,4
YU,UNION TO ST ANDREW,1,15
YU,UNION TO ST ANDREW STA,1,3
YU,VAUGHAN MC STATION,79,186
YU,VMC STATION,295,556
YU,WARDEN STATION,2,17
YU,WELLESLEY STATION,335,703
YU,WILSON STATION,471,1678
YU,WILSON YARD,17,12
YU,YORK MILLS STATION,214,1045
YU,YORK MILLS STATION (AP,1,6
YU,YORK UNIVERSITY STATIO,85,222
YU,YORKDALE STATION,143,901
YU,YORKDALE TO WILSON,1,65
