,Location,Min Delay,delay_count
0,FSTN,10,
1,Don mills station,20,
2,Lawrance and Midland,10,
3,Steeles & Bathurst,20,
4,eglinton and marlee,2,
5,yonge and st clair,2,
6,St Clair Station,1,
7,Finch and Yonge,22,
8,Bedford,30,
9,Steeles,10,
10,Steeles,20,
11,Wilstn,11,
12,Yonge and Steeles,3,
13,St. Clair and Yonge,4,
14,Steeles and Yonge,3,
15,Yonge and Steeles,3,
16,Eglinton Station,1,
17,Sheppard and Rivalda,15,
18,Eglinton,7,
19,kennedy stn,10,
20,Star Spray Loop,30,
21,Berwick and Yonge,3,
22,Bayview and Sheppard,20,
23,Eglinton stn,9,
24,Steeles and Martin Grove loop,12,
25,Mill Road Loop,26,
26,Pape stn,15,
27,Pape stn,10,
28,Wilson stn,4,
29,Warden St Clair,7,
30,Scarborough Town Center,17,
31,Don Mills station,8,
32,Bus Roadway,12,
33,Toronto ZOO,16,
34,All Locations,8,
35,York U Commons,13,
36,Pape stn,6,
37,Main Station,30,
38,Alliance and Jane,16,
39,Sheppard and kennedy,16,
40,Douglas,9,
41,Wellesley Station,7,
42,Kipling station,10,
43,Princessgate,6,
44,Finch & Don Mills,8,
45,Downsview stn to JADR,9,
46,Down. Stn. To park,1,
47,Chesswood and Sheppard,114,
48,Chesswood  and Sheppard,120,
49,Sheppard and Tuscan Gate,14,
50,Tuscan Gate & Sheppard,30,
51,Tuscan Gate & Sheppard,30,
52,Kipling station,10,
53,Drery at Bathurst street,4,
54,Wilson Stn,4,
55,York U Commons,11,
56,Wilson Stn,4,
57,Woodbine,12,
58,Bayview and Yonge,1,
59,Cosburn Route,12,
60,Royal York Station,9,
61,JNST,5,
62,JNST,62,
63,JNST,68,
64,Wilson Stn,4,
65,COMMOMS,10,
66,Christie / Garnet,5,
67,Pape Station,6,
68,Steeles and Markham Rd,6,
69,Kennedy Station,17,
70,Jane/Gordon Mackay,10,
71,Finch and Bayview,6,
72,All locations,14,
73,Royal York Station,9,
74,Neilson and Finch,8,
75,Sheppard to Ellesmere,10,
76,Alliance and Jane,19,
77,Cosburn and Donlands,10,
78,Orton Park/Lawrence,10,
79,YKMS,1,
80,Eglinton Station,10,
81,Oakwood and Rogers,10,
82,Eglinton west stn,6,
83,Kipling stn,10,
84,Finch/Milvan,8,
85,Finch @ Pharmacy,10,
86,KNRD,10,
87,Symington/Adrian,12,
88,Bathurst at Eglinton,21,
89,McClennan and Summerhill,30,
90,MOFI,20,
91,Eglinton & Rdepath,20,
92,Yonge St and Berwick,30,
93,Lawrence East RT,10,
94,bathurst and baycrest,20,
95,yonge and Point,3,
96,Eglinton yard,1,
97,Nashdene and Markham Rd,4,
98,Bathurst and Wilson,10,
99,Sheppard and Arrow,6,
100,Oakwood and Vaughan,17,
101,EGGA,1,
102,coxwell / mortimer,10,
103,Caledonia Rd. and Glencairn Rd.,23,
104,caniff and strachan,12,
105,Danforth Ave and Victoria Park,12,
106,Victoria Park Station,12,
107,Lawrence West Station,12,
108,Warden stn,5,
109,Laird and McRae,11,
110,Jane and Steeles,5,
111,Bathurst and Wilson,8,
112,EGGA,1,
113,cassandra / underhill,1,
114,Scarborough Town Centre,20,
115,Jane and Steeles,1,
116,Mount Dennis Garage,13,
117,Arrow Road Garage,11,
118,Scarborough Town Centre,3,
119,Wilson and Wilson Heights,20,
120,Long Branch loop,12,
121,Yonge and Ellerslie,30,
122,Warden Stn,7,
123,Bathurst and Wilson,7,
124,Mount Dennis Garage,15,
125,Main Station,13,
126,STC,3,
127,Steeles and Signet,10,
128,Arrow Road Garage,7,
129,Lawrence Ave.West and Jane St.,6,
130,Finch Stn & McCowan,5,
131,Bombay Loop,10,
132,Mt Dennis,8,
133,Eglinton yard,1,
134,Thistledown and Albion,22,
135,GLENCEDAR AND EGLINTON,6,
136,Bloor and Sherbourne,6,
137,eglinton stn,5,
138,Jane/Steeles,10,
139,Eglinton and East Mall,12,
140,Arrow Road Garage,5,
141,Passmore and Markham,13,
142,Dufferin and Bentworth,8,
143,KENN,10,
144,Spadina and Eglinton,30,
145,Royal Crest and Highway 27,5,
146,Kennedy Stn,12,
147,International just east of Carlingview,15,
148,Pape Stn,10,
149,Arrow Road Garage,5,
150,Entire Route,10,
151,Victoria Park Station to Steeles,30,
152,St. Clair W. stn to Bathurst,10,
153,Steeles to Kipling Station,10,
154,Entire Route,15,
155,Entire Route,15,
156,Humberline Loop,22,
157,Queens Quay and Lower Jarvis,9,
158,U OF T,7,
159,Jane/Steeles,10,
160,Lawrence rt,9,
161,Entire route,15,
162,Entire Route,20,
163,Eglinton W. stn to Neptune,10,
164,Markham Road Route,10,
165,St. Clair W. stn to Eglinton,10,
166,KENN,12,
167,Don Mills station to Rouge Hill,18,
168,Lawrence rt,6,
169,Eglinon stn to the Star Spray loop,18,
170,Bathurst stn to Atkinson,15,
171,68 Route,25,
172,ScarboroughTown Centre to Hupfield and Sewells,10,
173,Birchmount Route,10,
174,Steeles,20,
175,Finch & Markham,4,
176,duplex and eglinton,1,
177,Kipling at Queensway,15,
178,Downsview Stn.,2,
179,Finch Stn,15,
180,Bayview and Eglinton,16,
181,Dawes route,10,
182,Keele and Planchet Rd.,18,
183,YorkMills station to Kingston road,15,
184,STYC,14,
185,Yonge and York Mills,30,
186,Downsview Stn,2,
187,Eglinton station,15,
188,Downsview Stn.,6,
