Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-11-01,39,12:30:00 AM,Sunday,FSTN,Mechanical,10,20,EB,1272
2015-11-01,85,12:48:00 AM,Sunday,Don mills station,Investigation,20,40,E,1069
2015-11-01,54,12:53:00 AM,Sunday,Lawrance and Midland,Investigation,10,20,EB,7639
2015-11-01,310,2:10:00 AM,Sunday,Steeles & Bathurst,Mechanical,20,40,S,9018
2015-11-01,363,3:43:00 AM,Sunday,eglinton and marlee,Investigation,2,2,e/b,1547
2015-11-01,312,4:00:00 AM,Sunday,yonge and st clair,Investigation,2,2,e/b,1577
2015-11-01,312,4:55:00 AM,Sunday,St Clair Station,Mechanical,1,1,W,1577
2015-11-01,339,5:15:00 AM,Sunday,Finch and Yonge,Mechanical,22,22,W,1719
2015-11-01,85,5:25:00 AM,Sunday,Sheppard station,Late Leaving Garage,0,20,E,1816
2015-11-01,6,5:37:00 AM,Sunday,Bedford,Late Leaving Garage,30,53,S/b,1513
2015-11-01,310,5:57:00 AM,Sunday,Steeles,Mechanical,10,20,n,8362
2015-11-01,29,6:02:00 AM,Sunday,Steeles,Mechanical,20,40,s,8332
2015-11-01,29,6:09:00 AM,Sunday,Wilstn,Mechanical,11,22,s,9010
2015-11-01,320,6:09:00 AM,Sunday,Yonge and Steeles,Late Leaving Garage,3,6,S,8176
2015-11-01,320,6:17:00 AM,Sunday,St. Clair and Yonge,Emergency Services,4,8,S,8335
2015-11-01,320,6:21:00 AM,Sunday,Steeles and Yonge,Late Leaving Garage,3,6,S,8152
2015-11-01,320,6:27:00 AM,Sunday,Yonge and Steeles,Late Leaving Garage,3,6,S,1534
2015-11-01,354,7:00:00 AM,Sunday,Eglinton Station,Mechanical,1,15,E,7462
2015-11-01,84,7:28:00 AM,Sunday,Sheppard and Rivalda,Late Leaving Garage,15,30,W,1414
2015-11-01,7,7:33:00 AM,Sunday,Eglinton,General Delay,7,15,b/w,
2015-11-01,43,7:40:00 AM,Sunday,kennedy stn,Mechanical,10,20,nb,7470
2015-11-01,54,7:53:00 AM,Sunday,Star Spray Loop,Mechanical,30,60,wb,7462
2015-11-01,320,7:59:00 AM,Sunday,Berwick and Yonge,Mechanical,3,6,S,8183
2015-11-01,85,8:10:00 AM,Sunday,Bayview and Sheppard,Mechanical,20,40,E,1372
2015-11-01,34,8:14:00 AM,Sunday,Eglinton stn,Mechanical,9,17,eb,7544
2015-11-01,191,8:15:00 AM,Sunday,Steeles and Martin Grove loop,Late Leaving Garage,12,1,S,7938
2015-11-01,48,8:18:00 AM,Sunday,Mill Road Loop,Mechanical,26,26,eb,8095
2015-11-01,25,8:20:00 AM,Sunday,Pape stn,Mechanical,15,25,nb,7593
2015-11-01,25,8:30:00 AM,Sunday,Pape stn,Utilized Off Route,10,18,nb,7423
2015-11-01,29,8:33:00 AM,Sunday,Wilson stn,Mechanical,4,8,n,9039
2015-11-01,68,8:33:00 AM,Sunday,Warden St Clair,Investigation,7,7,nb,7533
2015-11-01,16,8:35:00 AM,Sunday,Scarborough Town Center,Late Leaving Garage,17,34,B/W,7709
2015-11-01,85,8:38:00 AM,Sunday,Don Mills station,Late Leaving Garage,8,16,E,1719
2015-11-01,196,8:41:00 AM,Sunday,Bus Roadway,Mechanical,12,24,n,8365
2015-11-01,85,8:50:00 AM,Sunday,Toronto ZOO,Utilized Off Route,16,24,E,1798
2015-11-01,40,9:00:00 AM,Sunday,All Locations,General Delay,8,15,B/W,8069
2015-11-01,60,9:06:00 AM,Sunday,York U Commons,Late Leaving Garage,13,26,E,1504
2015-11-01,25,9:11:00 AM,Sunday,Pape stn,Mechanical,6,10,nb,7569
2015-11-01,83,9:13:00 AM,Sunday,Main Station,Late Leaving Garage,30,60,B/W,7857
2015-11-01,161,9:20:00 AM,Sunday,Alliance and Jane,Mechanical,16,32,E/B,1560
2015-11-01,85,9:40:00 AM,Sunday,Sheppard and kennedy,Mechanical,16,24,EB,1798
2015-11-01,7,9:46:00 AM,Sunday,Douglas,Mechanical,9,18,n,8353
2015-11-01,94,9:50:00 AM,Sunday,Wellesley Station,Mechanical,7,14,B/W,7835
2015-11-01,192,9:55:00 AM,Sunday,Kipling station,Mechanical,10,20,nb,8002
2015-11-01,29,9:58:00 AM,Sunday,Princessgate,Mechanical,6,12,n,9027
2015-11-01,199,10:10:00 AM,Sunday,Finch & Don Mills,Mechanical,8,16,W,1146
2015-11-01,108,10:55:00 AM,Sunday,Downsview stn to JADR,General Delay,9,18,b/W,
2015-11-01,101,10:55:00 AM,Sunday,Down. Stn. To park,General Delay,1,1,b/W,1316
2015-11-01,108,10:55:00 AM,Sunday,Chesswood and Sheppard,Diversion,114,132,w/b,1266
2015-11-01,101,10:55:00 AM,Sunday,Chesswood  and Sheppard,Diversion,120,135,w/b,1316
2015-11-01,84,10:55:00 AM,Sunday,Sheppard and Tuscan Gate,Diversion,14,28,W,1365
2015-11-01,107,11:00:00 AM,Sunday,Tuscan Gate & Sheppard,Diversion,30,60,W,8149
2015-11-01,106,11:00:00 AM,Sunday,Tuscan Gate & Sheppard,Diversion,30,60,W,8163
2015-11-01,192,11:15:00 AM,Sunday,Kipling station,Mechanical,10,15,nb,8095
2015-11-01,125,11:56:00 AM,Sunday,Drery at Bathurst street,Mechanical,4,8,E,8320
2015-11-01,29,11:58:00 AM,Sunday,Wilson Stn,Late Leaving Garage,4,8,S,9043
2015-11-01,60,12:14:00 PM,Sunday,York U Commons,Late Leaving Garage,11,21,E,1257
2015-11-01,29,12:16:00 PM,Sunday,Wilson Stn,Late Leaving Garage,4,8,S,9006
2015-11-01,92,12:55:00 PM,Sunday,Woodbine,Mechanical,12,24,,7840
2015-11-01,54,1:00:00 PM,Sunday,Bayview and Yonge,General Delay,1,1,B/W,
2015-11-01,87,1:00:00 PM,Sunday,Cosburn Route,General Delay,12,24,,
2015-11-01,76,1:09:00 PM,Sunday,Royal York Station,Mechanical,9,18,,8047
2015-11-01,35,1:12:00 PM,Sunday,JNST,General Delay,5,9,N,
2015-11-01,774,1:12:00 PM,Sunday,JNST,Diversion,62,70,N,1347
2015-11-01,195,1:12:00 PM,Sunday,JNST,General Delay,68,88,N,
2015-11-01,29,1:16:00 PM,Sunday,Wilson Stn,Late Leaving Garage,4,8,S,9002
2015-11-01,195,1:25:00 PM,Sunday,COMMOMS,Mechanical,10,20,S,1367
2015-11-01,126,1:47:00 PM,Sunday,Christie / Garnet,Investigation,5,5,s,1613
2015-11-01,25,1:47:00 PM,Sunday,Pape Station,Mechanical,6,12,NB,7611
2015-11-01,53,2:35:00 PM,Sunday,Steeles and Markham Rd,Mechanical,6,12,wb,1135
2015-11-01,29,2:40:00 PM,Sunday,Prince's Gate Blvd,General Delay,0,0,N,8181
2015-11-01,12,3:00:00 PM,Sunday,Kennedy Station,Mechanical,17,34,WB,7736
2015-11-01,195,3:03:00 PM,Sunday,Jane/Gordon Mackay,Investigation,10,20,S,1399
2015-11-01,53,3:10:00 PM,Sunday,Finch and Bayview,Mechanical,6,12,wb,1140
2015-11-01,80,3:50:00 PM,Sunday,All locations,General Delay,14,34,B/W,8044
2015-11-01,76,4:22:00 PM,Sunday,Royal York Station,Mechanical,9,18,S/b,7955
2015-11-01,39,4:54:00 PM,Sunday,Neilson and Finch,Mechanical,8,16,wb,1739
2015-11-01,68,5:00:00 PM,Sunday,Sheppard to Ellesmere,General Delay,10,20,B/W,
2015-11-01,161,5:23:00 PM,Sunday,Alliance and Jane,Diversion,19,36,W/B,
2015-11-01,87,5:25:00 PM,Sunday,Cosburn and Donlands,Mechanical,10,20,,7245
2015-11-01,54,5:58:00 PM,Sunday,Orton Park/Lawrence,Emergency Services,10,20,W/B,7598
2015-11-01,95,6:31:00 PM,Sunday,YKMS,Mechanical,1,16,EB,1112
2015-11-01,100,6:32:00 PM,Sunday,Eglinton Station,Emergency Services,10,20,E/B,7598
2015-11-01,63,7:20:00 PM,Sunday,Oakwood and Rogers,Diversion,10,16,n/b,
2015-11-01,63,7:33:00 PM,Sunday,Eglinton west stn,Investigation,6,12,n/b,1509
2015-11-01,192,7:45:00 PM,Sunday,Kipling stn,Mechanical,10,20,n,8058
2015-11-01,36,9:03:00 PM,Sunday,Finch/Milvan,Investigation,8,15,W,8440
2015-11-01,95,9:19:00 PM,Sunday,Finch @ Pharmacy,Mechanical,10,20,WB,1317
2015-11-01,95,10:10:00 PM,Sunday,KNRD,Mechanical,10,20,WB,1740
2015-11-01,168,10:28:00 PM,Sunday,Symington/Adrian,Investigation,12,24,n,7910
2015-11-01,7,10:28:00 PM,Sunday,Bathurst at Eglinton,Diversion,21,31,S,8211
